lesson_key,course_number,section_order,lesson_number,lesson_name,standardised_question,transcript_word_count
004-149,004,7,149,A Guide to Packaging Up Your Professional Offering,How do you package a professional offering for different types of client?,4033
004-150,004,7,150,A Guide to Determining Your Niche (If You Need One),"Do you actually need a niche, and what does having one really mean?",2698
004-151,004,7,151,A Framework for Applying NLP at Master Practitioner Level,What framework brings NLP together at Master Practitioner level?,914
004-152,004,7,152,End of Section Seven Summary and Check-In,What has the seventh section actually asked you to take in?,2620
004-153,004,8,153,Closing Thoughts + Recommended Reads for Further Study,What comes next after finishing this course?,4393
004-154,004,8,154,A Few Final Words of Reflection,What comes after completing the Neuro-Linguistic Programming (NLP) Master Practitioner course?,3775
005-001,005,1,1,Welcome to NLP for Mental Health and Wellness,What does this course on Neuro-Linguistic Programming for mental health and wellness cover?,1941
005-002,005,1,2,Introducing the Present State to Desired State Model,How can you map the gap between where you are now and where you want to be?,4414
005-003,005,1,3,The NLP Communications Model (Explained),How does the mind turn an event into an emotional reaction?,4600
005-004,005,1,4,The Everyday Uses of Neuro-Linguistic Programming,What can Neuro-Linguistic Programming actually change in everyday life?,2613
005-005,005,1,5,The 7 Levels of Personal Maturation and Growth (Part 1),What has to change in your mindset before personal growth becomes possible?,2871
005-006,005,1,6,The 7 Levels of Personal Maturation and Growth (Part 2),"What comes after recognising a victim mindset, in the process of personal growth?",2990
005-007,005,1,7,Differentiating Fixed + Growth Orientated Thinking Styles,What separates a fixed mindset from a growth mindset?,2878
005-008,005,1,8,Concrete Authority Thinking Vs. Abstract Authority Thinking,What did Jean Piaget mean by concrete and abstract thinking?,1898
005-009,005,1,9,A Guide to Developing Neuro-Linguistic Flexibility,How does becoming more mentally flexible change the way you respond to life?,3029
005-010,005,1,10,Abstract Thinking: Questions to 'Warm-Up' Your Mind,What kind of questions can warm up your capacity for abstract thought?,2498
005-011,005,1,11,Neuro-Linguistic Programming Presuppositions (Part 1),"What are the presuppositions of Neuro-Linguistic Programming, and where do they come from?",2819
005-012,005,1,12,Neuro-Linguistic Programming Presuppositions (Part 2),What do the remaining presuppositions of Neuro-Linguistic Programming add to the picture?,3105
005-013,005,1,13,A Model for Growing in Self-Knowledge and Awareness,How does the way you define yourself shape your capacity for growth?,3466
005-014,005,1,14,Neurological Flexibility: Expanding Your Neuro-Pathways,What kind of questions can expand your neurological flexibility?,1955
005-015,005,1,15,Perception Vs. The True Nature of Actual Reality,"What did Alfred Korzybski mean by ""the map is not the territory""?",4702
005-016,005,1,16,End of Section One Summary and Check-In,What is covered in the check-in at the end of this section?,530
005-017,005,2,17,Mindset: Understanding the Wise Part of Your Mind,"What is the ""Wise Mind"" and how does it help you make better decisions?",2737
005-018,005,2,18,Mindset: Understanding Your Frame of Reference,"What is a ""frame of reference"" and how does it shape the way you see the world?",2836
005-019,005,2,19,NLP State: The Three Different Dimensions of State,"What are the three dimensions of ""state"" in Neuro-Linguistic Programming?",5472
005-020,005,2,20,Anchoring: An Introduction to NLP Belief Anchors,"What is a ""belief anchor"" and how does it come to limit you later in life?",2021
005-021,005,2,21,Anchoring: Representational Reimagining (A Process),How do you use representational reimagining to work through an unhelpful belief anchor?,3516
005-022,005,2,22,Mindset and Interpretation: The Internal State Loop,"What is the ""Internal State Loop"" and how does it shape your outcomes?",4366
005-023,005,2,23,Locus of Control: Disempowered Vs. Empowered Mindsets,What is the difference between a disempowered and an empowered mindset?,2904
005-024,005,2,24,The Fundamental Basics of NLP-Based Goal Setting,What are the four types of goals in Neuro-Linguistic Programming (NLP)-based goal setting?,3951
005-025,005,2,25,Goal Setting: Establishing Positively Framed Goals,Why does framing a goal positively make it easier to achieve?,2430
005-026,005,2,26,Ask Yourself: 10 ‘Creative’ Solution-Focussed Questions,How can solution-focused questions help you move past a problem?,2463
005-027,005,2,27,Foundations for Progress: Getting Clear on the Specifics,What role does clarity play in making real progress in life?,2780
005-028,005,2,28,Four Alternative Ways to Approach Life's Challenges,What does it take to move from talking about a problem to actually solving it?,2790
005-029,005,2,29,End of Section Two Summary and Check-In,What is this second check-in inviting you to reflect on?,1054
005-030,005,3,30,Virginia Satir's Core Beliefs and Critical Ideologies,What did Virginia Satir believe was essential for personal transformation?,5001
005-031,005,3,31,Introducing the Relevance of Fritz Perls' Gestalt Therapy,"What is Gestalt therapy, and who developed it?",2643
005-032,005,3,32,Conditions that Create Environments Where People Thrive,What three conditions did Carl Rogers say create an environment where people can thrive?,3711
005-033,005,3,33,Social Effectiveness: The Four Stages of Communication,Why does what you mean to say not always match what the other person hears?,3051
005-034,005,3,34,Mental Discipline: The NLP Dissociation Technique,How do you use the Neuro-Linguistic Programming (NLP) dissociation technique to process a distressing memory?,3184
005-035,005,3,35,Perceptual Positions: Dissociating for Positive Change,"How does ""going meta"" change the way you see a difficult situation?",2436
005-036,005,3,36,"Pacing, Leading, and Sensory Acuity in Communication","What are pacing, leading and sensory acuity, and how do they build rapport?",2447
005-037,005,3,37,NLP for Proactive Learning: Strategy Vs. Tactics,"What is the difference between a skill and a strategy, and why does it matter for learning?",3616
005-038,005,3,38,Modelling Excellence: An End-of-Course Exercise,How do you model someone else's strategy for achieving success?,2663
005-039,005,3,39,Attitude is Everything: Breakdown Vs. Breakthrough,What determines whether a breakdown becomes a breakthrough?,3709
005-040,005,3,40,End of Section Three Summary and Check-In,What does the check-in at the end of this section cover?,767
005-041,005,3,41,Recommended Reads to Support Your Further Study,What further reading does this course recommend?,2909
006-001,006,1,1,Core CBT Principles and Real-World Applications,What will this course actually teach you about the connection between how you think and how you act?,3049
006-002,006,1,2,"What, Exactly, is Cognitive Behavioural Therapy?","What is Cognitive Behavioural Therapy, and how does it actually work?",3509
006-003,006,1,3,The Three Spheres of Human Cognition,"What is the Wise Mind model, and how does it help you make clearer decisions?",3569
006-004,006,1,4,Neisser's Levels of Self-Knowledge and Awareness (Part 1),"Who was Ulric Neisser, and what did he say the five levels of self-knowledge are?",3389
006-005,006,1,5,Neisser's Levels of Self-Knowledge and Awareness (Part 2),How do Ulric Neisser's five levels of self-knowledge fit together as a picture of who you are?,4222
006-006,006,1,6,Evaluating Your Cognitive Capacity (and Flexibility),"How flexible is your thinking, and how do you actually put that to the test?",3780
006-007,006,1,7,Contrastive Analysis: Fixed and Growth Mindsets (Part 1),What actually separates a fixed mindset from a growth mindset?,2905
006-008,006,1,8,Contrastive Analysis: Fixed and Growth Mindsets (Part 2),"What does adopting a growth mindset actually cost you, compared with staying fixed?",3046
006-009,006,1,9,Further Unpacking the Fixed (Unflexible) Mindset,"What actually keeps a fixed mindset in place, and how do you move out of it?",4146
006-010,006,1,10,Further Unpacking the Growth (Flexible) Mindset,What actually changes when you approach life with a growth mindset?,4252
006-011,006,1,11,The CBT Communication Framework (for Self-Knowledge),"What is the CBT communication framework, and how does it link outside events to inner experience?",3564
006-012,006,1,12,A Cognitive Dissection of the Human Experience,How much of your experience of the world actually happens on the inside?,3977
006-013,006,1,13,Self-Reflection Questions to 'Warm-Up' Your Mind,How do you loosen up your thinking before you try to solve a problem?,4859
006-014,006,1,14,The Progress Principle: Moving from Current to Your Ideal,How do you actually close the gap between where you are now and where you want to be?,2258
006-015,006,1,15,Your Locus: Circle of Concern Vs. Circle of Control,How much of your stress actually comes from things you cannot control?,2887
006-016,006,1,16,11 Alternative Approaches to Handling Life's Problems,"Is what you are facing actually a problem to solve, or a tension to manage?",3708
006-017,006,1,17,End of Section One Summary and Check-In,What have the lessons in this first section actually asked you to think about?,794
006-018,006,2,18,Principles: The Foundational Assumptions of CBT,What basic assumptions does Cognitive Behavioural Therapy actually rest on?,3236
006-019,006,2,19,Labels: A Basis for Accurate Self-Definition,How do the labels you give yourself end up shaping your behaviour?,3115
006-020,006,2,20,The 3 Levels of Awareness in Human Consciousness,"What did Sigmund Freud mean by the conscious, preconscious and unconscious mind?",2708
006-021,006,2,21,Exploring the Unconscious Mind: A Practical Exercise,How do you actually begin exploring what lies in your unconscious mind?,1886
006-022,006,2,22,The Foundations of Cognition (where ideas come from),"According to John Locke, where do our ideas actually come from?",2574
006-023,006,2,23,The Five Categories of Belief (and Abstraction),What are the different types of belief that shape how you see the world?,3982
006-024,006,2,24,The Pygmalion Effect (and Self-Fulfilling Prophecy),Can simply expecting more from yourself or someone else actually change what happens?,2153
006-025,006,2,25,Mind Maps: Differentiating Between Perception and Reality,What did Alfred Korzybski mean when he said the map is not the territory?,3737
006-026,006,2,26,Battlefield of the Mind (The Mind Vs. The Brain),Why is the human mind sometimes described as a battlefield?,2944
006-027,006,2,27,Cognitive and Behavioural ‘Emotional’ Time-Travel,How does mentally revisiting the past or rehearsing the future affect how you feel right now?,3891
006-028,006,2,28,Patterns of Unhelpful Cognition: Thinking Patterns (Part 1),What automatic thinking habits quietly work against you without you noticing?,3198
006-029,006,2,29,Patterns of Unhelpful Cognition: Thinking Patterns (Part 2),Which further unhelpful thinking patterns are worth learning to spot in yourself?,3286
006-030,006,2,30,The Socratic Way: Evaluating the Accuracy of Thinking,How do you tell the difference between what you perceive and what is actually real?,2849
006-031,006,2,31,A Basis for Emotional Stability (and Character),What actually gives a person emotional stability when life gets difficult?,1781
006-032,006,2,32,How Strong is Your Relationship with Honesty?,How honestly are you actually willing to look at your own life?,2349
006-033,006,2,33,An Exploration of Albert Ellis's Ideology on Diagnosis,What was Albert Ellis's objection to the standard diagnostic approach in psychotherapy?,2566
006-034,006,2,34,End of Section Two Summary and Check-In,"Looking back at this section, which ideas actually landed for you?",727
006-035,006,3,35,The 7 Distinct Levels of Personal Awareness (Part 1),"What is a victim mindset, and how does it get in the way of personal growth?",4168
006-036,006,3,36,The 7 Distinct Levels of Personal Awareness (Part 2),How do the different levels of personal awareness build toward real change?,3701
006-037,006,3,37,The Seven Choices of Maturation and Character Growth,"What choices actually separate a mature, well-lived life from a reactive one?",5063
006-038,006,3,38,Choices of Maturity and Character: Honest Self-Evaluation,What happens when you actually live out your own standards of maturity and character?,4501
006-039,006,3,39,An Understanding of Cognitive Bias (Part 1),"Where does the idea of cognitive bias actually come from, and what does it mean?",3032
006-040,006,3,40,An Understanding of Cognitive Bias (Part 2),How do cognitive biases actually show up in your everyday decisions?,2376
006-041,006,3,41,The Main Categories of Goals (For Goal Setting),"What are the different categories of goals, and how do they actually fit together?",3988
006-042,006,3,42,A Guide to Framing Your Goals in the 'Positive',Why does how you word a goal actually change whether you achieve it?,3578
006-043,006,3,43,The Discipline of Solution Focussed Questioning,How can asking better questions help you solve a problem instead of dwelling on it?,2591
006-044,006,3,44,Anything Can Be Learned (With the Right Strategy),What does it actually take to learn a skill you currently believe is beyond you?,3344
006-045,006,3,45,End of Section Three Summary and Check-In,What is this point in the course actually asking you to check in on?,604
006-046,006,3,46,Recommended Reads to Support Your Further Study,Where can you go next to keep building on what this course has covered?,3732
007-001,007,1,1,Cognitive Behavioural Therapy Practitioner: An Introduction,What does a Cognitive Behavioural Therapy practitioner actually do?,1829
007-002,007,1,2,"Introducing the Rational, Emotional and Wise Mind","What is the ""wise mind"" and how does it balance logic and emotion?",2375
007-003,007,1,3,What is Cognitive Behavioural Therapy (CBT)?,What is Cognitive Behavioural Therapy and how does it work?,1770
007-004,007,1,4,Albert Ellis' Barriers to Effective Listening (and Hearing),What stops us from truly listening to other people?,5647
007-005,007,1,5,High-Level Overview of Cognitive Behavioural Therapy,What was Cognitive Behavioural Therapy originally designed to do?,3542
007-006,007,1,6,Core Assumptions in Cognitive Behaviour Therapy (CBT),What core assumption underpins Cognitive Behaviour Therapy?,5366
007-007,007,1,7,The Levels of Human Growth and Development (Part 1),How does human growth and development unfold across a lifetime?,3633
007-008,007,1,8,The Levels of Human Growth and Development (Part 2),Why does understanding the stages of growth and development matter across a lifetime?,2875
007-009,007,1,9,The Principles Guiding Cognitive Behavioural Therapy,What core principles guide Cognitive Behavioural Therapy?,2479
007-010,007,1,10,Commonly Used CBT-Based Terms and Their Meanings,What do the common terms used in Cognitive Behavioural Therapy actually mean?,3157
007-011,007,1,11,"The Relationship Between Thoughts, Emotions and Behaviour","How are thoughts, emotions and behaviour connected?",2524
007-012,007,1,12,The ‘ABCs’ of Cognitive Behavioural Therapy (CBT),What is the ABC model used in Cognitive Behavioural Therapy?,2300
007-013,007,1,13,Exploring Albert Ellis' 14 Self-Sabotaging Beliefs (Part 1),What are the first of Albert Ellis's fourteen self-sabotaging beliefs?,4013
007-014,007,1,14,Exploring Albert Ellis' 14 Self-Sabotaging Beliefs (Part 2),What are the remaining beliefs in Albert Ellis's list of fourteen self-sabotaging beliefs?,3017
007-015,007,1,15,A Guide to Understanding Destructive Behaviours,How can understanding a person's beliefs explain their destructive behaviour?,2351
007-016,007,1,16,Perceptual Dynamics: Unpacking Differences in Perception,Why do two people witnessing the same event come away with different perceptions?,2749
007-017,007,1,17,Perception Vs. Reality: The Map is Not the Territory,"What does it mean to say ""the map is not the territory""?",2220
007-018,007,2,18,Jean Piaget's 4 Stages of Cognitive Development,What are Jean Piaget's four stages of cognitive development?,2526
007-019,007,2,19,Erik Erikson's 8 Stages of Maturation and Development,What are Erik Erikson's eight stages of psychosocial development?,6237
007-020,007,2,20,Noam Chomsky and His Study of Cognitive Tendencies,What did Noam Chomsky argue about how humans acquire language?,4716
007-021,007,2,21,Daniel Kahneman's Key Perspectives on Cognitive Biases,How did Daniel Kahneman explain the cognitive biases that shape our decisions?,5674
007-022,007,2,22,The Superman Complex vs. The Inferiority Effect,What is the difference between the Superman Complex and the Inferiority Effect?,2647
007-023,007,2,23,An Honest Discussion about Extreme Thinking Styles,How can the inferiority complex and the superman complex show up inside a relationship?,2758
007-024,007,2,24,Aaron Beck’s Common Cognitive Distortions (Part 1),"What is a cognitive distortion, and how does it affect the way we see events?",3920
007-025,007,2,25,Aaron Beck’s Common Cognitive Distortions (Part 2),Why does recognising a cognitive distortion matter for mental health?,4388
007-026,007,2,26,The ABCs of CBT: A Self-Reflection Exercise (No. 1),How can the ABC model be used as a self-reflection exercise?,1204
007-027,007,2,27,The ABCs of CBT: A Self-Reflection Exercise (No. 2),How can working through a self-reflection exercise with others deepen understanding of the ABC model?,477
007-028,007,2,28,Identifying Cognitive Distortions (a Demonstration),What does it look like to identify a cognitive distortion during a live coaching session?,5081
007-029,007,2,29,The Four Domains of Emotional Intelligence (EQ),What are the four domains of Emotional Intelligence?,1949
007-030,007,2,30,The 'Drama' Triangle (of Unhelpful Dependencies),What is the Drama Triangle and how do its three roles trap people in unhealthy patterns?,2501
007-031,007,2,31,Taking a Holistic Look at the Human Experience,Why is a person more than a sum of their parts?,3623
007-032,007,2,32,Aligning a Person’s Intentions and Goals (Demonstration),How can a personal goal be tested against every dimension of a person's experience?,2880
007-033,007,2,33,Self-Understanding: The Inside-Out Revolution,What does it mean to say life is created from the inside out?,3834
007-034,007,2,34,Adaptive Thinking: The Cognitive Flexibility Concept,What is cognitive flexibility and why does it matter through life's transitions?,1484
007-035,007,2,35,Demonstration: Developing Cognitive Flexibility,How can a person actively build their cognitive flexibility?,2673
007-036,007,2,36,A Guide for Positively Influencing People's Perspective,How can understanding someone's learning style help shift their perspective?,1336
007-037,007,2,37,Understanding People Types: The 'Chris' Principle,What should be understood about people before beginning the work of helping them?,2040
007-038,007,2,38,Setting a (High) Standard for Investing in People,Why is it important to set a personal standard before investing in helping someone else?,2888
007-039,007,2,39,4 Types of Learning Styles and End-of-Section Summary,What are the four types of learning styles a practitioner should recognise?,2832
007-040,007,3,40,The Johari Window Model for Self-Awareness and Insight,What is the Johari Window and what do its four quadrants reveal about self-awareness?,2026
007-041,007,3,41,The 'Current' State Vs. 'Ideal' State Model (for Goal Setting),How can the gap between where you are now and where you want to be become an actionable plan?,2427
007-042,007,3,42,"Facts, Feelings + Faith as Foundations for Your Life","How do facts, feelings and faith work together as a foundation for life?",2154
007-043,007,3,43,Locus of Control: Circle of Concern Vs. Circle of Control,What is the difference between the Circle of Concern and the Circle of Control?,2605
007-044,007,3,44,The Achology CBT Thought Management Workbook,What does the Cognitive Behavioural Therapy (CBT) Thought Management Workbook provide for this section of the course?,884
007-045,007,3,45,An Introduction to the 'Father' of Cognitive Psychology,How did Ulric Neisser map the stages of self-awareness?,2655
007-046,007,3,46,A Six-Step Process for Facilitating Cognitive Change,What are the six steps involved in facilitating cognitive change?,1963
007-047,007,3,47,"The A, B, C, D and E’s of CBT and REBT (A Framework)",What is the ABCDE framework used in CBT and REBT?,973
007-048,007,3,48,Challenging Emotionally Fuelled Thoughts (A Demonstration),How can a structured questioning framework challenge an anxious thought in real time?,3938
007-049,007,3,49,"Working through the A, B, C, D, and E's (A Demonstration)",What does working through a limiting belief with the ABCDE framework look like in practice?,4946
007-050,007,3,50,Exploring the Lost Art of Thoughtful Questioning,What is Socratic Questioning and how does it uncover hidden assumptions?,1041
007-051,007,3,51,The Socratic Questioning Process (A Demonstration),What does the Socratic Questioning process look like when applied to a real recurring thought?,4655
007-052,007,3,52,Cognitive Restructuring: Putting Destructive Thoughts on Trial,"How can ""putting a thought on trial"" help challenge a destructive thinking pattern?",1138
007-053,007,3,53,The STOPP Card (Self-Discipline) Strategy,What is the STOPP Card strategy for emotional self-regulation?,1953
007-054,007,3,54,The 'Arnold Lazarus' Goal Simplifacation Technique,How can a single word help a client move from distress to a clear goal?,1878
007-055,007,3,55,Understanding the Natural Order of Your Emotions,What is the natural progression emotions tend to follow?,2840
007-056,007,3,56,The Essential Attributes of an Effective CBT Practitioner,What attributes make a Cognitive Behavioural Therapy (CBT) practitioner effective?,3368
007-057,007,3,57,The Decisions that Lead to Maturity and Character,What kinds of decisions build maturity and character over time?,4166
007-058,007,3,58,End of Section Three Summary and Wrap Up,Why does living out a principle matter more than simply teaching it?,1593
007-059,007,4,59,The Belief Development (and Modification) Section,What are the three categories that unhelpful beliefs tend to fall into?,2026
007-060,007,4,60,Behaviourism: An Overview of Classical Conditioning,What did Ivan Pavlov's experiments reveal about how associations are learned?,2098
007-061,007,4,61,Behaviourism: An Overview of Operant Conditioning,How does behaviour change through reward and consequence?,1897
007-062,007,4,62,Growth Mindset Vs. Fixed Mindset: An Exploration,What is the difference between a growth mindset and a fixed mindset?,2460
007-063,007,4,63,The Achology Core Beliefs Workbook,What does the Core Beliefs Workbook offer for applying this section's concepts?,850
007-064,007,4,64,The Timeline of Belief (and Worldview) Development,How does a person's worldview change and develop across a lifetime?,3344
007-065,007,4,65,Understanding the Origins of Self-Limiting Beliefs,Where do self-limiting beliefs actually come from?,3774
007-066,007,4,66,The Kuhn Cycle (and Belief Modification Process),How does the way scientific paradigms shift explain how personal beliefs change?,2666
007-067,007,4,67,The Pygmalion Effect (Self-Fulfilling Prophecy),How do other people's expectations shape our own performance?,1846
007-068,007,4,68,How Self-Defeating Ideologies Are First Formed,Where do self-defeating ideologies come from and how do they take hold?,1662
007-069,007,4,69,Limiting Beliefs: A Series of Demonstrations,What can be expected across this series of demonstrations on limiting beliefs?,803
007-070,007,4,70,Questioning Limiting Beliefs (Demonstration #01),What does a live Cognitive Behavioural Therapy (CBT) session look like when questioning a limiting belief?,4922
007-071,007,4,71,Questioning Limiting Beliefs: Demonstration Deconstruction,What can be learned by breaking down a limiting-belief demonstration after the fact?,2090
007-072,007,4,72,Parental Timeline Reimprinting (Demonstration #02),How does a live session address a limiting belief rooted in a parental message?,3921
007-073,007,4,73,Parental Timeline Reimprinting: Demo #2 Deconstruction,Why does the brain react to a memory as though it is happening right now?,1307
007-074,007,4,74,An Introduction to Timeline Interventions (the Process),How can mapping key life events out on a timeline build self-awareness?,743
007-075,007,4,75,The Timeline Interventions Process (Demonstration #03),What does the Timeline Interventions process look like when applied in a live session?,5689
007-076,007,4,76,Limiting Beliefs: A Self-Reflection Exercise (No. 3),"How can reflecting on the past help dismantle the belief of ""not being good enough""?",1829
007-077,007,4,77,Who Vs. How Vs. What: The Core Identity Model,How does the way you define yourself limit or open up your potential?,4996
007-078,007,4,78,Personality Psychology: Hans J. Eysenck's Model,What are the three dimensions in Hans J. Eysenck's model of personality?,2987
007-079,007,4,79,Have You Ever Wondered If You Are 'Good Enough'?,"What does success actually mean, beyond wealth and achievement?",2282
007-080,007,4,80,End of Section Four Summary and Wrap Up,What does the end-of-section reflection offer before moving on?,2188
007-081,007,5,81,Motivation: Introducing the Personal Values Section,Why do our deepest values shape our decisions more than we realise?,2086
007-082,007,5,82,FEAR: The Sabotager of Our Best Intentions,How can fear be reframed from a threat into a motivator?,3052
007-083,007,5,83,Shalom H. Schwartz's Theory of Basic Human Values,What are the ten basic human values identified by Shalom H. Schwartz?,5677
007-084,007,5,84,Abraham Maslow's Hierarchy of Needs (Basic Model),What are the five levels of Abraham Maslow's Hierarchy of Needs?,3325
007-085,007,5,85,Abraham Maslow's Hierarchy of Needs (Adapted Model),What does self-transcendence add to Abraham Maslow's original hierarchy?,2302
007-086,007,5,86,The Achology Personal Values Workbook,What does the Personal Values Workbook help you work out about your own priorities?,581
007-087,007,5,87,The Interconnectedness of Core Human Values (Part 1),How do shared values shape who we choose to build relationships with?,5519
007-088,007,5,88,The Interconnectedness of Core Human Values (Part 2),What happens when our core values come into conflict with another person's priorities?,3912
007-089,007,5,89,End of Section Five Summary and Wrap Up,"What does the story of ""Margaret's Bird"" illustrate about freedom and security?",702
007-090,007,6,90,An Introduction to the Communication Skills Section,What does it take to build real trust with someone before they will open up?,1553
007-091,007,6,91,"The Differences Between Advice, Guidance and Counselling","What is the difference between giving advice, offering guidance and providing counselling?",2281
007-092,007,6,92,The Stages of Relationships and How They Play Out,What stages does a relationship typically move through as it deepens?,4207
007-093,007,6,93,The Blocks to Healthy (and Connected) Communication,What is the difference between hearing someone and truly listening to them?,4748
007-094,007,6,94,Essential People Skills for Effective CBT Practitioners,"What does it mean to truly ""attend"" to another person?",2401
007-095,007,6,95,Proactive Listening Skills (A Demonstration),What does active listening look like when applied to uncover someone's values?,3988
007-096,007,6,96,Top Tips for Highly Effective Communication,What habits make communication genuinely effective?,1824
007-097,007,6,97,People Skills: Essential Insights for Developing Trust,Why does communication sometimes go wrong even when the intention is good?,1479
007-098,007,6,98,Social Effectiveness: The Three Levels of Listening,"What is the difference between internal, focused and global listening?",1331
007-099,007,6,99,Social Influence: The Perceptual Repositioning Process,How can shifting between three perspectives change how you see a situation?,1749
007-100,007,6,100,Perceptual Re-Positioning (A Demonstration),What does a perceptual repositioning exercise look like when applied to a real area of life?,2533
007-101,007,6,101,People Skills: Seven Different Types of Questions,What framework of questions helps a new practitioner structure a session?,3738
007-102,007,6,102,Solution Focused Questions (that Work in Any Conversation),What is solution-focused questioning and why does it work in almost any conversation?,2168
007-103,007,6,103,Chunking Up + Down: The Hierarchy of Big + Small Ideas,"What is the difference between ""chunking up"" and ""chunking down"" an idea?",1816
007-104,007,6,104,Conversational Chunking (A Demonstration),What does chunking up and chunking down sound like in an everyday conversation?,1805
007-105,007,7,105,Introducing the CBT Course Goal Setting Section,What does this section on goal setting cover?,1476
007-106,007,7,106,The Four Different Types (and Categories) of Goal,How do the seasons of life shape the kind of goal that fits each stage?,4188
007-107,007,7,107,The Seven Deadly Sins of Goal Setting,What are the seven most common mistakes people make when setting a goal?,2741
007-108,007,7,108,A Meaningful Vision for Who You Want to Become,What does it take to articulate a genuine vision for who you want to become?,2076
007-109,007,7,109,Download: The Achology CBT Goal Setting Workbook,What does the Cognitive Behavioural Therapy (CBT) Goal Setting Workbook add beyond simply picking a goal?,1652
007-110,007,7,110,Goal Setting: The S.M.A.R.T Goal Setting Process,What does it mean to set a S.M.A.R.T. goal?,2340
007-111,007,7,111,Download: The Achology Life Purpose Workbook,What is a life purpose and how does the Life Purpose Workbook help clarify it?,940
007-112,007,7,112,The Eisenhower Matrix: A Practical Guide to Prioritisation,How does the Eisenhower Matrix help decide what actually deserves your attention?,1801
007-113,007,7,113,The CBT Framework for Achieving Goal Congruence,What does it mean for a goal to be truly congruent with the rest of your life?,1480
007-114,007,7,114,Evaluating the Congruence of a Goal (A Demonstration),What does it look like to test a real goal against the goal congruence framework?,2091
007-115,007,7,115,Evaluating Goal Congruence (Demonstration Deconstruction),What made the previous goal congruence demonstration actually work?,1740
007-116,007,7,116,Download: The Achology Action Planning Template,What is an action plan and how is it different from a to-do list?,1150
007-117,007,7,117,Gerard Egan's 3-Stage 'Skilled Helper' Framework,What are the three stages of Gerard Egan's Skilled Helper Model?,1875
007-118,007,7,118,Recommended Reads to Support Your Further Study,What resources are recommended to continue learning after this course?,2533
007-119,007,7,119,End of Course Summary and Closing Thoughts,What does this final lesson leave you equipped to do?,2250
008-001,008,1,1,Cognitive Behavioural Therapy Introduction Video,What can you expect from this Cognitive Behavioural Therapy course?,3524
008-002,008,1,2,Building Your Life Upon a Strong Cognitive Foundation,How does a single shift in perspective change the way your brain works?,4618
008-003,008,1,3,A Guided Journey Into the Depth of Self-Awareness,Why doesn't simply looking inward make you more self-aware?,4727
008-004,008,1,4,What is Cognitive Behavioural Therapy Exactly?,What actually happens in Cognitive Behavioural Therapy?,2620
008-005,008,1,5,"The Wise Mind, Reasonable Mind and Emotional Mind",How can you balance logic and emotion in the choices you make?,3952
008-006,008,1,6,The Cognitive and Communications Framework,"How does an everyday event turn into a thought, a feeling and a reaction?",2743
008-007,008,1,7,Eight Questions for Increasing Your Cognitive Capacity,How can adults keep expanding their cognitive capacity?,3691
008-008,008,1,8,A Guide to Understanding the Human Mindset (Part 1),What does the Johari Window reveal about how you see yourself?,3066
008-009,008,1,9,A Guide to Understanding the Human Mindset (Part 2),How can a Beginner's Mind change the way you approach your own thinking?,1924
008-010,008,1,10,The Unconscious: What Lies Beneath Your Surface,How much of what shapes your thinking happens outside your awareness?,2132
008-011,008,1,11,The Distinction Between Fixed & Growth Mindsets (Part 1),Why do some people avoid challenges while others embrace them?,3943
008-012,008,1,12,The Distinction Between Fixed & Growth Mindsets (Part 2),What does it take to build a growth mindset?,3494
008-013,008,1,13,A Closer Exploration of the FIXED Mindset,Why does a fixed mindset make challenges feel threatening?,4118
008-014,008,1,14,A Closer Exploration of the GROWTH Mindset,What belief underpins a growth mindset?,4385
008-015,008,1,15,Truth Statements: Assessing Your Relationship with Truth,Why do so many people resist facing the truth about themselves?,2896
008-016,008,1,16,Inside-Out: A Dissection of the Cognitive Experience,What actually happens inside your mind between noticing something and acting on it?,3006
008-017,008,1,17,Current Life Conditions Vs. Ideal Life Conditions,What closes the gap between your present situation and the future you want?,3852
008-018,008,1,18,Locus: The Circle of Concern Vs. Circle of Control,How do you decide where to focus your energy when everything feels overwhelming?,2437
008-019,008,1,19,End of Section One Summary and Check-In,Why pause for self-reflection at the end of a section?,766
008-020,008,2,20,CBT's Positive Assumptions About People (Part 1),Why do so many people resist the idea of change?,4327
008-021,008,2,21,CBT's Positive Assumptions About People (Part 2),How does staying open to new ideas change what becomes possible?,2224
008-022,008,2,22,Self-Definition: A Helpful Guide to Quantifying the Self,What happens when you define yourself by your past experiences or the labels others give you?,5344
008-023,008,2,23,How Experiences Become Ideas (Then Become Beliefs),How does a single experience eventually turn into a firm belief?,3773
008-024,008,2,24,The Four Categories of Truth (for Critical Thinking),What different kinds of truth shape how we understand ourselves and each other?,4468
008-025,008,2,25,Introducing and Exploring Cognitive Biases (Part 1),Why do we tend to notice evidence that confirms what we already believe?,3688
008-026,008,2,26,Introducing and Exploring Cognitive Biases (Part 2),Why do dramatic or memorable events feel more likely to happen again?,2464
008-027,008,2,27,Thinking About Thinking: Inductive Vs. Deductive Patterns,What's the difference between reasoning from specific details and reasoning from general principles?,1818
008-028,008,2,28,The Relationship Between Beliefs and Results (A Cycle),How do the beliefs you hold shape the results you get?,2979
008-029,008,2,29,"Perception: Accuracy in Judgement, Maps and Territories",Why is your mental map of the world never quite the same as the world itself?,2293
